Order_ID,Order_Date,Delivery_Date,Customer_Region,Product_Category,Vendor_Name,Courier,Delivery_Status,Delay_Days,Total_Delivery_Days
68,2024-03-13,2024-03-18,Central,Clothing,Vendor_B,Delhivery,Delayed,2,5
69,2024-06-13,2024-06-16,Central,Appliances,Vendor_C,Delhivery,Delivered,0,3
70,2024-05-27,2024-05-30,East,Furniture,Vendor_B,Delhivery,Delivered,0,3
71,2024-05-20,2024-05-26,West,Toys,Vendor_D,Bluedart,Delayed,3,6
72,2024-05-16,2024-05-19,North,Furniture,Vendor_C,FedEx,Delivered,0,3
73,2024-02-22,2024-02-27,South,Clothing,Vendor_B,FedEx,Delayed,2,5
74,2024-01-08,2024-01-18,Central,Electronics,Vendor_D,Delhivery,Delayed,7,10
75,2024-06-19,2024-06-23,West,Toys,Vendor_D,Bluedart,Delayed,1,4
76,2024-02-21,2024-02-24,North,Toys,Vendor_B,Bluedart,Delivered,0,3
77,2024-06-17,2024-06-27,North,Appliances,Vendor_B,FedEx,Delayed,7,10
78,2024-04-05,2024-04-15,Central,Appliances,Vendor_C,Delhivery,Delayed,7,10
79,2024-05-27,2024-06-09,West,Appliances,Vendor_D,Bluedart,Delayed,10,13
80,2024-06-28,2024-07-08,West,Furniture,Vendor_B,DHL,Delayed,7,10
81,2024-05-16,2024-05-20,East,Toys,Vendor_A,DHL,Delayed,1,4
82,2024-02-09,2024-02-15,East,Appliances,Vendor_A,Bluedart,Delayed,3,6
83,2024-02-08,2024-02-16,South,Clothing,Vendor_A,Delhivery,Delayed,5,8
84,2024-04-11,2024-04-24,West,Toys,Vendor_A,Bluedart,Delayed,10,13
85,2024-04-13,2024-04-16,Central,Toys,Vendor_D,FedEx,Delivered,0,3
86,2024-03-10,2024-03-18,West,Appliances,Vendor_B,Delhivery,Delayed,5,8
87,2024-02-09,2024-02-17,West,Electronics,Vendor_D,DHL,Delayed,5,8
88,2024-06-22,2024-06-30,South,Toys,Vendor_B,FedEx,Delayed,5,8
89,2024-04-19,2024-04-22,North,Toys,Vendor_B,Delhivery,Delivered,0,3
90,2024-02-02,2024-02-07,West,Furniture,Vendor_B,Delhivery,Delayed,2,5
91,2024-03-11,2024-03-19,East,Toys,Vendor_C,FedEx,Delayed,5,8
92,2024-04-01,2024-04-14,North,Furniture,Vendor_B,FedEx,Delayed,10,13
93,2024-06-02,2024-06-05,South,Clothing,Vendor_A,Bluedart,Delivered,0,3
94,2024-02-05,2024-02-15,North,Appliances,Vendor_B,Delhivery,Delayed,7,10
95,2024-06-09,2024-06-15,South,Appliances,Vendor_A,Bluedart,Delayed,3,6
96,2024-03-04,2024-03-07,East,Appliances,Vendor_D,Delhivery,Delivered,0,3
97,2024-06-07,2024-06-10,Central,Clothing,Vendor_A,DHL,Delivered,0,3
98,2024-06-20,2024-06-23,Central,Electronics,Vendor_C,Delhivery,Delivered,0,3
99,2024-06-12,2024-06-15,Central,Furniture,Vendor_A,Delhivery,Delivered,0,3
100,2024-04-04,2024-04-12,East,Toys,Vendor_B,Delhivery,Delayed,5,8
101,2024-02-24,2024-03-08,East,Appliances,Vendor_D,Delhivery,Delayed,10,13
102,2024-04-27,2024-05-02,East,Clothing,Vendor_A,DHL,Delayed,2,5
103,2024-04-08,2024-04-18,Central,Appliances,Vendor_D,DHL,Delayed,7,10
104,2024-01-16,2024-01-22,South,Toys,Vendor_B,DHL,Delayed,3,6
105,2024-03-11,2024-03-16,Central,Furniture,Vendor_A,Bluedart,Delayed,2,5
106,2024-01-08,2024-01-16,West,Appliances,Vendor_B,Delhivery,Delayed,5,8
107,2024-06-23,2024-07-03,West,Electronics,Vendor_A,DHL,Delayed,7,10
108,2024-02-13,2024-02-17,East,Appliances,Vendor_C,Delhivery,Delayed,1,4
109,2024-05-17,2024-05-23,West,Appliances,Vendor_C,DHL,Delayed,3,6
110,2024-06-15,2024-06-20,East,Furniture,Vendor_B,FedEx,Delayed,2,5
111,2024-06-07,2024-06-13,North,Appliances,Vendor_B,Bluedart,Delayed,3,6
112,2024-02-24,2024-03-05,East,Appliances,Vendor_C,FedEx,Delayed,7,10
113,2024-02-10,2024-02-14,East,Clothing,Vendor_C,FedEx,Delayed,1,4
114,2024-06-18,2024-06-21,East,Electronics,Vendor_A,DHL,Delivered,0,3
115,2024-06-05,2024-06-15,North,Electronics,Vendor_C,Delhivery,Delayed,7,10
116,2024-04-15,2024-04-21,South,Electronics,Vendor_C,Delhivery,Delayed,3,6
117,2024-01-27,2024-01-30,West,Toys,Vendor_A,FedEx,Delivered,0,3
118,2024-02-05,2024-02-10,North,Clothing,Vendor_A,Delhivery,Delayed,2,5
119,2024-05-20,2024-05-24,Central,Toys,Vendor_D,Delhivery,Delayed,1,4
120,2024-03-28,2024-04-05,East,Appliances,Vendor_A,FedEx,Delayed,5,8
121,2024-02-21,2024-02-25,East,Electronics,Vendor_B,Bluedart,Delayed,1,4
122,2024-02-18,2024-02-21,South,Electronics,Vendor_D,Delhivery,Delivered,0,3
123,2024-06-20,2024-06-30,East,Electronics,Vendor_B,DHL,Delayed,7,10
124,2024-06-10,2024-06-20,North,Clothing,Vendor_C,Bluedart,Delayed,7,10
125,2024-04-04,2024-04-17,South,Clothing,Vendor_C,Bluedart,Delayed,10,13
126,2024-01-02,2024-01-05,East,Appliances,Vendor_C,Delhivery,Delivered,0,3
127,2024-01-15,2024-01-20,West,Furniture,Vendor_D,Delhivery,Delayed,2,5
128,2024-01-20,2024-01-23,West,Furniture,Vendor_C,FedEx,Delivered,0,3
129,2024-01-08,2024-01-11,East,Appliances,Vendor_A,Bluedart,Delivered,0,3
130,2024-04-17,2024-04-27,East,Clothing,Vendor_D,Delhivery,Delayed,7,10
131,2024-01-16,2024-01-22,West,Furniture,Vendor_C,FedEx,Delayed,3,6
132,2024-02-11,2024-02-19,West,Furniture,Vendor_D,FedEx,Delayed,5,8
133,2024-04-03,2024-04-09,East,Furniture,Vendor_A,Delhivery,Delayed,3,6
134,2024-05-27,2024-05-30,Central,Toys,Vendor_D,FedEx,Delivered,0,3
135,2024-02-17,2024-02-23,Central,Toys,Vendor_D,FedEx,Delayed,3,6
136,2024-02-09,2024-02-22,South,Furniture,Vendor_D,Delhivery,Delayed,10,13
137,2024-01-01,2024-01-05,South,Furniture,Vendor_A,Delhivery,Delayed,1,4
138,2024-01-08,2024-01-11,West,Electronics,Vendor_B,Delhivery,Delivered,0,3
139,2024-06-10,2024-06-23,East,Toys,Vendor_D,Delhivery,Delayed,10,13
140,2024-02-15,2024-02-28,South,Toys,Vendor_B,Bluedart,Delayed,10,13
141,2024-01-09,2024-01-17,East,Appliances,Vendor_C,FedEx,Delayed,5,8
142,2024-03-24,2024-03-29,Central,Appliances,Vendor_D,Bluedart,Delayed,2,5
143,2024-04-18,2024-04-28,East,Furniture,Vendor_D,Delhivery,Delayed,7,10
144,2024-03-28,2024-04-01,South,Appliances,Vendor_D,Bluedart,Delayed,1,4
145,2024-04-02,2024-04-08,West,Toys,Vendor_D,Bluedart,Delayed,3,6
146,2024-04-02,2024-04-05,Central,Appliances,Vendor_C,FedEx,Delivered,0,3
147,2024-04-04,2024-04-17,West,Electronics,Vendor_B,Delhivery,Delayed,10,13
148,2024-06-05,2024-06-08,West,Furniture,Vendor_C,Delhivery,Delivered,0,3
149,2024-06-03,2024-06-09,Central,Toys,Vendor_C,Delhivery,Delayed,3,6
150,2024-05-02,2024-05-05,South,Furniture,Vendor_B,FedEx,Delivered,0,3
151,2024-04-04,2024-04-07,West,Clothing,Vendor_C,FedEx,Delivered,0,3
152,2024-01-11,2024-01-14,East,Furniture,Vendor_C,Delhivery,Delivered,0,3
153,2024-02-08,2024-02-21,West,Appliances,Vendor_B,Bluedart,Delayed,10,13
154,2024-02-03,2024-02-11,Central,Clothing,Vendor_D,Bluedart,Delayed,5,8
155,2024-02-15,2024-02-20,West,Furniture,Vendor_A,Delhivery,Delayed,2,5
156,2024-03-22,2024-04-04,South,Electronics,Vendor_D,DHL,Delayed,10,13
157,2024-05-10,2024-05-18,East,Toys,Vendor_C,Bluedart,Delayed,5,8
158,2024-04-28,2024-05-08,North,Clothing,Vendor_D,DHL,Delayed,7,10
159,2024-05-10,2024-05-15,North,Toys,Vendor_C,FedEx,Delayed,2,5
160,2024-05-28,2024-05-31,Central,Toys,Vendor_C,Bluedart,Delivered,0,3
161,2024-05-26,2024-06-01,South,Clothing,Vendor_C,Bluedart,Delayed,3,6
162,2024-06-04,2024-06-07,East,Toys,Vendor_A,DHL,Delivered,0,3
163,2024-06-05,2024-06-08,East,Furniture,Vendor_D,Bluedart,Delivered,0,3
164,2024-02-05,2024-02-18,East,Appliances,Vendor_C,Bluedart,Delayed,10,13
165,2024-03-27,2024-04-06,East,Furniture,Vendor_A,Delhivery,Delayed,7,10
166,2024-01-05,2024-01-09,West,Appliances,Vendor_C,FedEx,Delayed,1,4
167,2024-04-01,2024-04-06,Central,Electronics,Vendor_D,DHL,Delayed,2,5
168,2024-06-24,2024-06-29,Central,Toys,Vendor_C,FedEx,Delayed,2,5
169,2024-06-08,2024-06-18,North,Appliances,Vendor_C,Bluedart,Delayed,7,10
170,2024-06-03,2024-06-13,East,Toys,Vendor_A,Bluedart,Delayed,7,10
171,2024-01-02,2024-01-07,West,Electronics,Vendor_A,Bluedart,Delayed,2,5
172,2024-05-05,2024-05-13,West,Furniture,Vendor_D,Bluedart,Delayed,5,8
173,2024-04-21,2024-04-24,West,Appliances,Vendor_D,DHL,Delivered,0,3
174,2024-01-23,2024-01-29,South,Toys,Vendor_D,Bluedart,Delayed,3,6
175,2024-03-04,2024-03-10,Central,Furniture,Vendor_A,Delhivery,Delayed,3,6
176,2024-03-07,2024-03-10,West,Electronics,Vendor_B,FedEx,Delivered,0,3
177,2024-01-26,2024-02-01,South,Clothing,Vendor_B,FedEx,Delayed,3,6
178,2024-05-07,2024-05-11,South,Furniture,Vendor_B,FedEx,Delayed,1,4
179,2024-03-28,2024-03-31,South,Appliances,Vendor_C,Bluedart,Delivered,0,3
180,2024-01-22,2024-01-25,South,Electronics,Vendor_C,Bluedart,Delivered,0,3
181,2024-05-11,2024-05-14,South,Furniture,Vendor_A,Bluedart,Delivered,0,3
182,2024-06-14,2024-06-27,North,Electronics,Vendor_D,Delhivery,Delayed,10,13
183,2024-03-17,2024-03-20,West,Appliances,Vendor_B,FedEx,Delivered,0,3
184,2024-06-26,2024-07-09,East,Toys,Vendor_A,FedEx,Delayed,10,13
185,2024-04-28,2024-05-06,West,Electronics,Vendor_D,Delhivery,Delayed,5,8
186,2024-01-03,2024-01-09,Central,Clothing,Vendor_A,Bluedart,Delayed,3,6
187,2024-03-20,2024-04-02,East,Toys,Vendor_C,Delhivery,Delayed,10,13
188,2024-05-20,2024-05-28,North,Electronics,Vendor_B,Delhivery,Delayed,5,8
189,2024-04-08,2024-04-16,East,Toys,Vendor_D,Delhivery,Delayed,5,8
190,2024-06-04,2024-06-10,West,Furniture,Vendor_C,DHL,Delayed,3,6
191,2024-02-22,2024-03-03,North,Electronics,Vendor_A,FedEx,Delayed,7,10
192,2024-04-04,2024-04-10,South,Appliances,Vendor_A,DHL,Delayed,3,6
193,2024-06-04,2024-06-12,East,Toys,Vendor_A,DHL,Delayed,5,8
194,2024-05-10,2024-05-16,North,Appliances,Vendor_B,Bluedart,Delayed,3,6
195,2024-06-16,2024-06-20,North,Furniture,Vendor_C,FedEx,Delayed,1,4
196,2024-03-19,2024-03-23,West,Appliances,Vendor_A,DHL,Delayed,1,4
197,2024-01-06,2024-01-11,East,Furniture,Vendor_C,FedEx,Delayed,2,5
198,2024-02-28,2024-03-02,Central,Toys,Vendor_A,Bluedart,Delivered,0,3
199,2024-06-21,2024-06-24,North,Appliances,Vendor_B,Delhivery,Delivered,0,3
200,2024-04-15,2024-04-21,South,Furniture,Vendor_C,DHL,Delayed,3,6
201,2024-05-20,2024-05-23,North,Clothing,Vendor_B,FedEx,Delivered,0,3
202,2024-06-03,2024-06-08,West,Toys,Vendor_D,Delhivery,Delayed,2,5
203,2024-04-09,2024-04-13,Central,Electronics,Vendor_C,Delhivery,Delayed,1,4
204,2024-01-10,2024-01-20,Central,Furniture,Vendor_A,Bluedart,Delayed,7,10
205,2024-04-20,2024-04-23,North,Clothing,Vendor_C,Bluedart,Delivered,0,3
206,2024-02-25,2024-03-01,East,Furniture,Vendor_A,FedEx,Delayed,2,5
207,2024-04-24,2024-05-02,South,Clothing,Vendor_D,Bluedart,Delayed,5,8
208,2024-05-18,2024-05-24,North,Toys,Vendor_A,Delhivery,Delayed,3,6
209,2024-01-15,2024-01-18,East,Appliances,Vendor_D,Delhivery,Delivered,0,3
210,2024-06-21,2024-06-29,East,Electronics,Vendor_D,FedEx,Delayed,5,8
211,2024-03-06,2024-03-16,East,Electronics,Vendor_D,FedEx,Delayed,7,10
212,2024-02-14,2024-02-22,Central,Electronics,Vendor_D,DHL,Delayed,5,8
213,2024-06-11,2024-06-15,East,Clothing,Vendor_A,FedEx,Delayed,1,4
214,2024-05-17,2024-05-21,East,Furniture,Vendor_B,Bluedart,Delayed,1,4
215,2024-01-05,2024-01-10,South,Clothing,Vendor_B,FedEx,Delayed,2,5
216,2024-02-25,2024-03-06,West,Appliances,Vendor_D,DHL,Delayed,7,10
217,2024-06-11,2024-06-14,West,Electronics,Vendor_D,Delhivery,Delivered,0,3
218,2024-06-10,2024-06-15,Central,Electronics,Vendor_C,FedEx,Delayed,2,5
219,2024-03-15,2024-03-25,North,Electronics,Vendor_C,DHL,Delayed,7,10
220,2024-01-21,2024-01-24,Central,Appliances,Vendor_D,Delhivery,Delivered,0,3
221,2024-05-18,2024-05-21,West,Appliances,Vendor_B,DHL,Delivered,0,3
222,2024-05-16,2024-05-29,South,Electronics,Vendor_D,FedEx,Delayed,10,13
223,2024-03-23,2024-03-26,Central,Clothing,Vendor_A,Bluedart,Delivered,0,3
224,2024-06-15,2024-06-25,Central,Appliances,Vendor_B,DHL,Delayed,7,10
225,2024-03-10,2024-03-18,West,Furniture,Vendor_A,DHL,Delayed,5,8
226,2024-01-11,2024-01-14,Central,Toys,Vendor_C,DHL,Delivered,0,3
227,2024-06-28,2024-07-01,East,Electronics,Vendor_B,DHL,Delivered,0,3
228,2024-03-21,2024-03-29,South,Appliances,Vendor_A,DHL,Delayed,5,8
229,2024-05-13,2024-05-19,South,Appliances,Vendor_A,Delhivery,Delayed,3,6
230,2024-05-12,2024-05-15,East,Furniture,Vendor_B,Bluedart,Delivered,0,3
231,2024-03-25,2024-04-04,South,Clothing,Vendor_B,Bluedart,Delayed,7,10
232,2024-01-10,2024-01-13,Central,Appliances,Vendor_A,DHL,Delivered,0,3
233,2024-05-05,2024-05-13,South,Clothing,Vendor_B,Bluedart,Delayed,5,8
234,2024-06-15,2024-06-18,West,Furniture,Vendor_B,Delhivery,Delivered,0,3
235,2024-05-10,2024-05-20,South,Appliances,Vendor_B,DHL,Delayed,7,10
236,2024-04-27,2024-05-01,East,Appliances,Vendor_D,Delhivery,Delayed,1,4
237,2024-03-25,2024-04-02,Central,Appliances,Vendor_D,Bluedart,Delayed,5,8
238,2024-02-26,2024-02-29,East,Electronics,Vendor_D,DHL,Delivered,0,3
239,2024-05-04,2024-05-17,North,Furniture,Vendor_A,Bluedart,Delayed,10,13
240,2024-03-15,2024-03-28,South,Toys,Vendor_A,Bluedart,Delayed,10,13
241,2024-04-12,2024-04-15,West,Electronics,Vendor_D,DHL,Delivered,0,3
242,2024-02-13,2024-02-16,East,Clothing,Vendor_A,DHL,Delivered,0,3
243,2024-01-27,2024-02-02,South,Clothing,Vendor_A,DHL,Delayed,3,6
244,2024-04-23,2024-04-26,West,Toys,Vendor_A,FedEx,Delivered,0,3
245,2024-01-09,2024-01-13,South,Appliances,Vendor_D,FedEx,Delayed,1,4
246,2024-03-08,2024-03-13,North,Electronics,Vendor_B,Delhivery,Delayed,2,5
247,2024-06-26,2024-07-06,North,Electronics,Vendor_D,FedEx,Delayed,7,10
248,2024-06-17,2024-06-21,South,Furniture,Vendor_D,FedEx,Delayed,1,4
249,2024-05-12,2024-05-16,Central,Toys,Vendor_B,FedEx,Delayed,1,4
250,2024-05-12,2024-05-15,Central,Appliances,Vendor_A,Delhivery,Delivered,0,3
251,2024-04-02,2024-04-10,East,Furniture,Vendor_A,DHL,Delayed,5,8
252,2024-01-12,2024-01-16,North,Appliances,Vendor_C,Bluedart,Delayed,1,4
253,2024-01-12,2024-01-25,East,Clothing,Vendor_D,Delhivery,Delayed,10,13
254,2024-06-06,2024-06-09,North,Toys,Vendor_A,DHL,Delivered,0,3
255,2024-02-02,2024-02-06,North,Furniture,Vendor_C,Delhivery,Delayed,1,4
256,2024-05-16,2024-05-21,North,Clothing,Vendor_C,DHL,Delayed,2,5
257,2024-01-28,2024-02-03,East,Electronics,Vendor_C,Delhivery,Delayed,3,6
258,2024-04-24,2024-05-04,West,Furniture,Vendor_B,Delhivery,Delayed,7,10
259,2024-06-16,2024-06-22,Central,Furniture,Vendor_A,Delhivery,Delayed,3,6
260,2024-01-14,2024-01-17,Central,Furniture,Vendor_C,FedEx,Delivered,0,3
261,2024-01-11,2024-01-16,East,Toys,Vendor_D,Bluedart,Delayed,2,5
262,2024-06-15,2024-06-21,West,Electronics,Vendor_C,Delhivery,Delayed,3,6
263,2024-03-21,2024-03-24,North,Toys,Vendor_C,Bluedart,Delivered,0,3
264,2024-01-05,2024-01-15,North,Clothing,Vendor_A,Bluedart,Delayed,7,10
265,2024-06-12,2024-06-18,West,Appliances,Vendor_A,Bluedart,Delayed,3,6
266,2024-06-15,2024-06-21,East,Toys,Vendor_A,Bluedart,Delayed,3,6
267,2024-05-12,2024-05-20,East,Furniture,Vendor_B,FedEx,Delayed,5,8
268,2024-01-24,2024-01-27,West,Appliances,Vendor_D,FedEx,Delivered,0,3
269,2024-03-25,2024-03-30,West,Clothing,Vendor_C,Delhivery,Delayed,2,5
270,2024-02-04,2024-02-07,North,Toys,Vendor_B,Delhivery,Delivered,0,3
271,2024-01-26,2024-02-01,East,Electronics,Vendor_C,DHL,Delayed,3,6
272,2024-02-23,2024-02-26,East,Appliances,Vendor_B,FedEx,Delivered,0,3
273,2024-02-26,2024-02-29,South,Toys,Vendor_A,DHL,Delivered,0,3
274,2024-05-19,2024-05-25,West,Appliances,Vendor_B,FedEx,Delayed,3,6
275,2024-01-10,2024-01-18,West,Appliances,Vendor_D,Delhivery,Delayed,5,8
276,2024-05-03,2024-05-06,East,Electronics,Vendor_D,Delhivery,Delivered,0,3
277,2024-06-17,2024-06-23,South,Appliances,Vendor_B,Bluedart,Delayed,3,6
278,2024-04-17,2024-04-20,North,Appliances,Vendor_B,DHL,Delivered,0,3
279,2024-02-06,2024-02-12,South,Furniture,Vendor_C,FedEx,Delayed,3,6
280,2024-03-07,2024-03-20,East,Clothing,Vendor_C,FedEx,Delayed,10,13
281,2024-05-21,2024-05-24,Central,Appliances,Vendor_B,Bluedart,Delivered,0,3
282,2024-06-20,2024-06-26,Central,Electronics,Vendor_A,FedEx,Delayed,3,6
283,2024-01-21,2024-01-26,South,Appliances,Vendor_D,FedEx,Delayed,2,5
284,2024-04-21,2024-05-04,East,Furniture,Vendor_D,Bluedart,Delayed,10,13
285,2024-06-13,2024-06-18,West,Electronics,Vendor_A,Bluedart,Delayed,2,5
286,2024-04-14,2024-04-24,West,Clothing,Vendor_C,Bluedart,Delayed,7,10
287,2024-03-28,2024-04-03,East,Toys,Vendor_B,DHL,Delayed,3,6
288,2024-05-18,2024-05-21,East,Clothing,Vendor_D,FedEx,Delivered,0,3
289,2024-03-15,2024-03-19,South,Electronics,Vendor_A,DHL,Delayed,1,4
290,2024-04-28,2024-05-06,South,Clothing,Vendor_C,DHL,Delayed,5,8
291,2024-02-25,2024-02-28,West,Appliances,Vendor_D,Delhivery,Delivered,0,3
292,2024-03-16,2024-03-19,North,Toys,Vendor_D,Bluedart,Delivered,0,3
293,2024-02-19,2024-02-25,North,Electronics,Vendor_C,Delhivery,Delayed,3,6
294,2024-05-27,2024-06-06,East,Appliances,Vendor_A,FedEx,Delayed,7,10
295,2024-04-05,2024-04-10,East,Toys,Vendor_C,FedEx,Delayed,2,5
296,2024-04-02,2024-04-15,South,Furniture,Vendor_C,FedEx,Delayed,10,13
297,2024-04-17,2024-04-27,Central,Furniture,Vendor_A,Bluedart,Delayed,7,10
298,2024-01-13,2024-01-19,East,Appliances,Vendor_C,Bluedart,Delayed,3,6
299,2024-02-20,2024-03-04,West,Appliances,Vendor_A,FedEx,Delayed,10,13
300,2024-01-05,2024-01-11,West,Appliances,Vendor_D,Bluedart,Delayed,3,6
301,2024-05-17,2024-05-20,East,Appliances,Vendor_C,Bluedart,Delivered,0,3
302,2024-04-20,2024-04-25,Central,Furniture,Vendor_D,DHL,Delayed,2,5
303,2024-04-27,2024-04-30,East,Furniture,Vendor_A,Delhivery,Delivered,0,3
304,2024-05-10,2024-05-13,Central,Toys,Vendor_C,Bluedart,Delivered,0,3
305,2024-06-02,2024-06-12,South,Appliances,Vendor_D,Bluedart,Delayed,7,10
306,2024-06-08,2024-06-11,Central,Electronics,Vendor_B,FedEx,Delivered,0,3
307,2024-04-11,2024-04-19,South,Toys,Vendor_B,Delhivery,Delayed,5,8
308,2024-05-25,2024-06-04,North,Clothing,Vendor_B,DHL,Delayed,7,10
309,2024-06-16,2024-06-29,West,Furniture,Vendor_B,Delhivery,Delayed,10,13
310,2024-05-11,2024-05-24,East,Furniture,Vendor_D,Bluedart,Delayed,10,13
311,2024-02-09,2024-02-22,East,Clothing,Vendor_C,DHL,Delayed,10,13
312,2024-06-07,2024-06-17,East,Toys,Vendor_C,DHL,Delayed,7,10
