Order_ID,Order_Date,Delivery_Date,Customer_Region,Product_Category,Vendor_Name,Courier,Delivery_Status,Delay_Days
79,2024-05-27,2024-06-09,West,Appliances,Vendor_D,Bluedart,Delayed,10
80,2024-06-28,2024-07-08,West,Furniture,Vendor_B,DHL,Delayed,7
81,2024-05-16,2024-05-20,East,Toys,Vendor_A,DHL,Delayed,1
82,2024-02-09,2024-02-15,East,Appliances,Vendor_A,Bluedart,Delayed,3
83,2024-02-08,2024-02-16,South,Clothing,Vendor_A,Delhivery,Delayed,5
84,2024-04-11,2024-04-24,West,Toys,Vendor_A,Bluedart,Delayed,10
85,2024-04-13,2024-04-16,Central,Toys,Vendor_D,FedEx,Delivered,0
86,2024-03-10,2024-03-18,West,Appliances,Vendor_B,Delhivery,Delayed,5
87,2024-02-09,2024-02-17,West,Electronics,Vendor_D,DHL,Delayed,5
88,2024-06-22,2024-06-30,South,Toys,Vendor_B,FedEx,Delayed,5
89,2024-04-19,2024-04-22,North,Toys,Vendor_B,Delhivery,Delivered,0
90,2024-02-02,2024-02-07,West,Furniture,Vendor_B,Delhivery,Delayed,2
91,2024-03-11,2024-03-19,East,Toys,Vendor_C,FedEx,Delayed,5
92,2024-04-01,2024-04-14,North,Furniture,Vendor_B,FedEx,Delayed,10
93,2024-06-02,2024-06-05,South,Clothing,Vendor_A,Bluedart,Delivered,0
94,2024-02-05,2024-02-15,North,Appliances,Vendor_B,Delhivery,Delayed,7
95,2024-06-09,2024-06-15,South,Appliances,Vendor_A,Bluedart,Delayed,3
96,2024-03-04,2024-03-07,East,Appliances,Vendor_D,Delhivery,Delivered,0
97,2024-06-07,2024-06-10,Central,Clothing,Vendor_A,DHL,Delivered,0
98,2024-06-20,2024-06-23,Central,Electronics,Vendor_C,Delhivery,Delivered,0
99,2024-06-12,2024-06-15,Central,Furniture,Vendor_A,Delhivery,Delivered,0
100,2024-04-04,2024-04-12,East,Toys,Vendor_B,Delhivery,Delayed,5
101,2024-02-24,2024-03-08,East,Appliances,Vendor_D,Delhivery,Delayed,10
102,2024-04-27,2024-05-02,East,Clothing,Vendor_A,DHL,Delayed,2
103,2024-04-08,2024-04-18,Central,Appliances,Vendor_D,DHL,Delayed,7
104,2024-01-16,2024-01-22,South,Toys,Vendor_B,DHL,Delayed,3
105,2024-03-11,2024-03-16,Central,Furniture,Vendor_A,Bluedart,Delayed,2
106,2024-01-08,2024-01-16,West,Appliances,Vendor_B,Delhivery,Delayed,5
107,2024-06-23,2024-07-03,West,Electronics,Vendor_A,DHL,Delayed,7
108,2024-02-13,2024-02-17,East,Appliances,Vendor_C,Delhivery,Delayed,1
109,2024-05-17,2024-05-23,West,Appliances,Vendor_C,DHL,Delayed,3
110,2024-06-15,2024-06-20,East,Furniture,Vendor_B,FedEx,Delayed,2
111,2024-06-07,2024-06-13,North,Appliances,Vendor_B,Bluedart,Delayed,3
112,2024-02-24,2024-03-05,East,Appliances,Vendor_C,FedEx,Delayed,7
113,2024-02-10,2024-02-14,East,Clothing,Vendor_C,FedEx,Delayed,1
114,2024-06-18,2024-06-21,East,Electronics,Vendor_A,DHL,Delivered,0
115,2024-06-05,2024-06-15,North,Electronics,Vendor_C,Delhivery,Delayed,7
116,2024-04-15,2024-04-21,South,Electronics,Vendor_C,Delhivery,Delayed,3
117,2024-01-27,2024-01-30,West,Toys,Vendor_A,FedEx,Delivered,0
118,2024-02-05,2024-02-10,North,Clothing,Vendor_A,Delhivery,Delayed,2
119,2024-05-20,2024-05-24,Central,Toys,Vendor_D,Delhivery,Delayed,1
120,2024-03-28,2024-04-05,East,Appliances,Vendor_A,FedEx,Delayed,5
121,2024-02-21,2024-02-25,East,Electronics,Vendor_B,Bluedart,Delayed,1
122,2024-02-18,2024-02-21,South,Electronics,Vendor_D,Delhivery,Delivered,0
123,2024-06-20,2024-06-30,East,Electronics,Vendor_B,DHL,Delayed,7
124,2024-06-10,2024-06-20,North,Clothing,Vendor_C,Bluedart,Delayed,7
125,2024-04-04,2024-04-17,South,Clothing,Vendor_C,Bluedart,Delayed,10
126,2024-01-02,2024-01-05,East,Appliances,Vendor_C,Delhivery,Delivered,0
127,2024-01-15,2024-01-20,West,Furniture,Vendor_D,Delhivery,Delayed,2
128,2024-01-20,2024-01-23,West,Furniture,Vendor_C,FedEx,Delivered,0
129,2024-01-08,2024-01-11,East,Appliances,Vendor_A,Bluedart,Delivered,0
130,2024-04-17,2024-04-27,East,Clothing,Vendor_D,Delhivery,Delayed,7
131,2024-01-16,2024-01-22,West,Furniture,Vendor_C,FedEx,Delayed,3
132,2024-02-11,2024-02-19,West,Furniture,Vendor_D,FedEx,Delayed,5
133,2024-04-03,2024-04-09,East,Furniture,Vendor_A,Delhivery,Delayed,3
134,2024-05-27,2024-05-30,Central,Toys,Vendor_D,FedEx,Delivered,0
135,2024-02-17,2024-02-23,Central,Toys,Vendor_D,FedEx,Delayed,3
136,2024-02-09,2024-02-22,South,Furniture,Vendor_D,Delhivery,Delayed,10
137,2024-01-01,2024-01-05,South,Furniture,Vendor_A,Delhivery,Delayed,1
138,2024-01-08,2024-01-11,West,Electronics,Vendor_B,Delhivery,Delivered,0
139,2024-06-10,2024-06-23,East,Toys,Vendor_D,Delhivery,Delayed,10
140,2024-02-15,2024-02-28,South,Toys,Vendor_B,Bluedart,Delayed,10
141,2024-01-09,2024-01-17,East,Appliances,Vendor_C,FedEx,Delayed,5
142,2024-03-24,2024-03-29,Central,Appliances,Vendor_D,Bluedart,Delayed,2
143,2024-04-18,2024-04-28,East,Furniture,Vendor_D,Delhivery,Delayed,7
144,2024-03-28,2024-04-01,South,Appliances,Vendor_D,Bluedart,Delayed,1
145,2024-04-02,2024-04-08,West,Toys,Vendor_D,Bluedart,Delayed,3
146,2024-04-02,2024-04-05,Central,Appliances,Vendor_C,FedEx,Delivered,0
147,2024-04-04,2024-04-17,West,Electronics,Vendor_B,Delhivery,Delayed,10
148,2024-06-05,2024-06-08,West,Furniture,Vendor_C,Delhivery,Delivered,0
149,2024-06-03,2024-06-09,Central,Toys,Vendor_C,Delhivery,Delayed,3
150,2024-05-02,2024-05-05,South,Furniture,Vendor_B,FedEx,Delivered,0
151,2024-04-04,2024-04-07,West,Clothing,Vendor_C,FedEx,Delivered,0
152,2024-01-11,2024-01-14,East,Furniture,Vendor_C,Delhivery,Delivered,0
153,2024-02-08,2024-02-21,West,Appliances,Vendor_B,Bluedart,Delayed,10
154,2024-02-03,2024-02-11,Central,Clothing,Vendor_D,Bluedart,Delayed,5
155,2024-02-15,2024-02-20,West,Furniture,Vendor_A,Delhivery,Delayed,2
156,2024-03-22,2024-04-04,South,Electronics,Vendor_D,DHL,Delayed,10
157,2024-05-10,2024-05-18,East,Toys,Vendor_C,Bluedart,Delayed,5
158,2024-04-28,2024-05-08,North,Clothing,Vendor_D,DHL,Delayed,7
159,2024-05-10,2024-05-15,North,Toys,Vendor_C,FedEx,Delayed,2
160,2024-05-28,2024-05-31,Central,Toys,Vendor_C,Bluedart,Delivered,0
161,2024-05-26,2024-06-01,South,Clothing,Vendor_C,Bluedart,Delayed,3
162,2024-06-04,2024-06-07,East,Toys,Vendor_A,DHL,Delivered,0
163,2024-06-05,2024-06-08,East,Furniture,Vendor_D,Bluedart,Delivered,0
164,2024-02-05,2024-02-18,East,Appliances,Vendor_C,Bluedart,Delayed,10
165,2024-03-27,2024-04-06,East,Furniture,Vendor_A,Delhivery,Delayed,7
166,2024-01-05,2024-01-09,West,Appliances,Vendor_C,FedEx,Delayed,1
167,2024-04-01,2024-04-06,Central,Electronics,Vendor_D,DHL,Delayed,2
168,2024-06-24,2024-06-29,Central,Toys,Vendor_C,FedEx,Delayed,2
169,2024-06-08,2024-06-18,North,Appliances,Vendor_C,Bluedart,Delayed,7
170,2024-06-03,2024-06-13,East,Toys,Vendor_A,Bluedart,Delayed,7
171,2024-01-02,2024-01-07,West,Electronics,Vendor_A,Bluedart,Delayed,2
172,2024-05-05,2024-05-13,West,Furniture,Vendor_D,Bluedart,Delayed,5
173,2024-04-21,2024-04-24,West,Appliances,Vendor_D,DHL,Delivered,0
174,2024-01-23,2024-01-29,South,Toys,Vendor_D,Bluedart,Delayed,3
175,2024-03-04,2024-03-10,Central,Furniture,Vendor_A,Delhivery,Delayed,3
176,2024-03-07,2024-03-10,West,Electronics,Vendor_B,FedEx,Delivered,0
177,2024-01-26,2024-02-01,South,Clothing,Vendor_B,FedEx,Delayed,3
178,2024-05-07,2024-05-11,South,Furniture,Vendor_B,FedEx,Delayed,1
179,2024-03-28,2024-03-31,South,Appliances,Vendor_C,Bluedart,Delivered,0
180,2024-01-22,2024-01-25,South,Electronics,Vendor_C,Bluedart,Delivered,0
181,2024-05-11,2024-05-14,South,Furniture,Vendor_A,Bluedart,Delivered,0
182,2024-06-14,2024-06-27,North,Electronics,Vendor_D,Delhivery,Delayed,10
183,2024-03-17,2024-03-20,West,Appliances,Vendor_B,FedEx,Delivered,0
184,2024-06-26,2024-07-09,East,Toys,Vendor_A,FedEx,Delayed,10
185,2024-04-28,2024-05-06,West,Electronics,Vendor_D,Delhivery,Delayed,5
186,2024-01-03,2024-01-09,Central,Clothing,Vendor_A,Bluedart,Delayed,3
187,2024-03-20,2024-04-02,East,Toys,Vendor_C,Delhivery,Delayed,10
188,2024-05-20,2024-05-28,North,Electronics,Vendor_B,Delhivery,Delayed,5
189,2024-04-08,2024-04-16,East,Toys,Vendor_D,Delhivery,Delayed,5
190,2024-06-04,2024-06-10,West,Furniture,Vendor_C,DHL,Delayed,3
191,2024-02-22,2024-03-03,North,Electronics,Vendor_A,FedEx,Delayed,7
192,2024-04-04,2024-04-10,South,Appliances,Vendor_A,DHL,Delayed,3
193,2024-06-04,2024-06-12,East,Toys,Vendor_A,DHL,Delayed,5
194,2024-05-10,2024-05-16,North,Appliances,Vendor_B,Bluedart,Delayed,3
195,2024-06-16,2024-06-20,North,Furniture,Vendor_C,FedEx,Delayed,1
196,2024-03-19,2024-03-23,West,Appliances,Vendor_A,DHL,Delayed,1
197,2024-01-06,2024-01-11,East,Furniture,Vendor_C,FedEx,Delayed,2
198,2024-02-28,2024-03-02,Central,Toys,Vendor_A,Bluedart,Delivered,0
199,2024-06-21,2024-06-24,North,Appliances,Vendor_B,Delhivery,Delivered,0
200,2024-04-15,2024-04-21,South,Furniture,Vendor_C,DHL,Delayed,3
201,2024-05-20,2024-05-23,North,Clothing,Vendor_B,FedEx,Delivered,0
202,2024-06-03,2024-06-08,West,Toys,Vendor_D,Delhivery,Delayed,2
203,2024-04-09,2024-04-13,Central,Electronics,Vendor_C,Delhivery,Delayed,1
204,2024-01-10,2024-01-20,Central,Furniture,Vendor_A,Bluedart,Delayed,7
205,2024-04-20,2024-04-23,North,Clothing,Vendor_C,Bluedart,Delivered,0
206,2024-02-25,2024-03-01,East,Furniture,Vendor_A,FedEx,Delayed,2
207,2024-04-24,2024-05-02,South,Clothing,Vendor_D,Bluedart,Delayed,5
208,2024-05-18,2024-05-24,North,Toys,Vendor_A,Delhivery,Delayed,3
209,2024-01-15,2024-01-18,East,Appliances,Vendor_D,Delhivery,Delivered,0
210,2024-06-21,2024-06-29,East,Electronics,Vendor_D,FedEx,Delayed,5
211,2024-03-06,2024-03-16,East,Electronics,Vendor_D,FedEx,Delayed,7
212,2024-02-14,2024-02-22,Central,Electronics,Vendor_D,DHL,Delayed,5
213,2024-06-11,2024-06-15,East,Clothing,Vendor_A,FedEx,Delayed,1
214,2024-05-17,2024-05-21,East,Furniture,Vendor_B,Bluedart,Delayed,1
215,2024-01-05,2024-01-10,South,Clothing,Vendor_B,FedEx,Delayed,2
216,2024-02-25,2024-03-06,West,Appliances,Vendor_D,DHL,Delayed,7
217,2024-06-11,2024-06-14,West,Electronics,Vendor_D,Delhivery,Delivered,0
218,2024-06-10,2024-06-15,Central,Electronics,Vendor_C,FedEx,Delayed,2
219,2024-03-15,2024-03-25,North,Electronics,Vendor_C,DHL,Delayed,7
220,2024-01-21,2024-01-24,Central,Appliances,Vendor_D,Delhivery,Delivered,0
221,2024-05-18,2024-05-21,West,Appliances,Vendor_B,DHL,Delivered,0
222,2024-05-16,2024-05-29,South,Electronics,Vendor_D,FedEx,Delayed,10
223,2024-03-23,2024-03-26,Central,Clothing,Vendor_A,Bluedart,Delivered,0
224,2024-06-15,2024-06-25,Central,Appliances,Vendor_B,DHL,Delayed,7
225,2024-03-10,2024-03-18,West,Furniture,Vendor_A,DHL,Delayed,5
226,2024-01-11,2024-01-14,Central,Toys,Vendor_C,DHL,Delivered,0
227,2024-06-28,2024-07-01,East,Electronics,Vendor_B,DHL,Delivered,0
228,2024-03-21,2024-03-29,South,Appliances,Vendor_A,DHL,Delayed,5
229,2024-05-13,2024-05-19,South,Appliances,Vendor_A,Delhivery,Delayed,3
230,2024-05-12,2024-05-15,East,Furniture,Vendor_B,Bluedart,Delivered,0
231,2024-03-25,2024-04-04,South,Clothing,Vendor_B,Bluedart,Delayed,7
232,2024-01-10,2024-01-13,Central,Appliances,Vendor_A,DHL,Delivered,0
233,2024-05-05,2024-05-13,South,Clothing,Vendor_B,Bluedart,Delayed,5
234,2024-06-15,2024-06-18,West,Furniture,Vendor_B,Delhivery,Delivered,0
235,2024-05-10,2024-05-20,South,Appliances,Vendor_B,DHL,Delayed,7
236,2024-04-27,2024-05-01,East,Appliances,Vendor_D,Delhivery,Delayed,1
237,2024-03-25,2024-04-02,Central,Appliances,Vendor_D,Bluedart,Delayed,5
238,2024-02-26,2024-02-29,East,Electronics,Vendor_D,DHL,Delivered,0
239,2024-05-04,2024-05-17,North,Furniture,Vendor_A,Bluedart,Delayed,10
240,2024-03-15,2024-03-28,South,Toys,Vendor_A,Bluedart,Delayed,10
241,2024-04-12,2024-04-15,West,Electronics,Vendor_D,DHL,Delivered,0
242,2024-02-13,2024-02-16,East,Clothing,Vendor_A,DHL,Delivered,0
243,2024-01-27,2024-02-02,South,Clothing,Vendor_A,DHL,Delayed,3
244,2024-04-23,2024-04-26,West,Toys,Vendor_A,FedEx,Delivered,0
245,2024-01-09,2024-01-13,South,Appliances,Vendor_D,FedEx,Delayed,1
246,2024-03-08,2024-03-13,North,Electronics,Vendor_B,Delhivery,Delayed,2
247,2024-06-26,2024-07-06,North,Electronics,Vendor_D,FedEx,Delayed,7
248,2024-06-17,2024-06-21,South,Furniture,Vendor_D,FedEx,Delayed,1
249,2024-05-12,2024-05-16,Central,Toys,Vendor_B,FedEx,Delayed,1
250,2024-05-12,2024-05-15,Central,Appliances,Vendor_A,Delhivery,Delivered,0
251,2024-04-02,2024-04-10,East,Furniture,Vendor_A,DHL,Delayed,5
252,2024-01-12,2024-01-16,North,Appliances,Vendor_C,Bluedart,Delayed,1
253,2024-01-12,2024-01-25,East,Clothing,Vendor_D,Delhivery,Delayed,10
254,2024-06-06,2024-06-09,North,Toys,Vendor_A,DHL,Delivered,0
255,2024-02-02,2024-02-06,North,Furniture,Vendor_C,Delhivery,Delayed,1
256,2024-05-16,2024-05-21,North,Clothing,Vendor_C,DHL,Delayed,2
257,2024-01-28,2024-02-03,East,Electronics,Vendor_C,Delhivery,Delayed,3
258,2024-04-24,2024-05-04,West,Furniture,Vendor_B,Delhivery,Delayed,7
259,2024-06-16,2024-06-22,Central,Furniture,Vendor_A,Delhivery,Delayed,3
260,2024-01-14,2024-01-17,Central,Furniture,Vendor_C,FedEx,Delivered,0
261,2024-01-11,2024-01-16,East,Toys,Vendor_D,Bluedart,Delayed,2
262,2024-06-15,2024-06-21,West,Electronics,Vendor_C,Delhivery,Delayed,3
263,2024-03-21,2024-03-24,North,Toys,Vendor_C,Bluedart,Delivered,0
264,2024-01-05,2024-01-15,North,Clothing,Vendor_A,Bluedart,Delayed,7
265,2024-06-12,2024-06-18,West,Appliances,Vendor_A,Bluedart,Delayed,3
266,2024-06-15,2024-06-21,East,Toys,Vendor_A,Bluedart,Delayed,3
267,2024-05-12,2024-05-20,East,Furniture,Vendor_B,FedEx,Delayed,5
268,2024-01-24,2024-01-27,West,Appliances,Vendor_D,FedEx,Delivered,0
269,2024-03-25,2024-03-30,West,Clothing,Vendor_C,Delhivery,Delayed,2
270,2024-02-04,2024-02-07,North,Toys,Vendor_B,Delhivery,Delivered,0
271,2024-01-26,2024-02-01,East,Electronics,Vendor_C,DHL,Delayed,3
272,2024-02-23,2024-02-26,East,Appliances,Vendor_B,FedEx,Delivered,0
273,2024-02-26,2024-02-29,South,Toys,Vendor_A,DHL,Delivered,0
274,2024-05-19,2024-05-25,West,Appliances,Vendor_B,FedEx,Delayed,3
275,2024-01-10,2024-01-18,West,Appliances,Vendor_D,Delhivery,Delayed,5
276,2024-05-03,2024-05-06,East,Electronics,Vendor_D,Delhivery,Delivered,0
277,2024-06-17,2024-06-23,South,Appliances,Vendor_B,Bluedart,Delayed,3
278,2024-04-17,2024-04-20,North,Appliances,Vendor_B,DHL,Delivered,0
279,2024-02-06,2024-02-12,South,Furniture,Vendor_C,FedEx,Delayed,3
280,2024-03-07,2024-03-20,East,Clothing,Vendor_C,FedEx,Delayed,10
281,2024-05-21,2024-05-24,Central,Appliances,Vendor_B,Bluedart,Delivered,0
282,2024-06-20,2024-06-26,Central,Electronics,Vendor_A,FedEx,Delayed,3
283,2024-01-21,2024-01-26,South,Appliances,Vendor_D,FedEx,Delayed,2
284,2024-04-21,2024-05-04,East,Furniture,Vendor_D,Bluedart,Delayed,10
285,2024-06-13,2024-06-18,West,Electronics,Vendor_A,Bluedart,Delayed,2
286,2024-04-14,2024-04-24,West,Clothing,Vendor_C,Bluedart,Delayed,7
287,2024-03-28,2024-04-03,East,Toys,Vendor_B,DHL,Delayed,3
288,2024-05-18,2024-05-21,East,Clothing,Vendor_D,FedEx,Delivered,0
289,2024-03-15,2024-03-19,South,Electronics,Vendor_A,DHL,Delayed,1
290,2024-04-28,2024-05-06,South,Clothing,Vendor_C,DHL,Delayed,5
291,2024-02-25,2024-02-28,West,Appliances,Vendor_D,Delhivery,Delivered,0
292,2024-03-16,2024-03-19,North,Toys,Vendor_D,Bluedart,Delivered,0
293,2024-02-19,2024-02-25,North,Electronics,Vendor_C,Delhivery,Delayed,3
294,2024-05-27,2024-06-06,East,Appliances,Vendor_A,FedEx,Delayed,7
295,2024-04-05,2024-04-10,East,Toys,Vendor_C,FedEx,Delayed,2
296,2024-04-02,2024-04-15,South,Furniture,Vendor_C,FedEx,Delayed,10
297,2024-04-17,2024-04-27,Central,Furniture,Vendor_A,Bluedart,Delayed,7
298,2024-01-13,2024-01-19,East,Appliances,Vendor_C,Bluedart,Delayed,3
299,2024-02-20,2024-03-04,West,Appliances,Vendor_A,FedEx,Delayed,10
300,2024-01-05,2024-01-11,West,Appliances,Vendor_D,Bluedart,Delayed,3
301,2024-05-17,2024-05-20,East,Appliances,Vendor_C,Bluedart,Delivered,0
302,2024-04-20,2024-04-25,Central,Furniture,Vendor_D,DHL,Delayed,2
303,2024-04-27,2024-04-30,East,Furniture,Vendor_A,Delhivery,Delivered,0
304,2024-05-10,2024-05-13,Central,Toys,Vendor_C,Bluedart,Delivered,0
305,2024-06-02,2024-06-12,South,Appliances,Vendor_D,Bluedart,Delayed,7
306,2024-06-08,2024-06-11,Central,Electronics,Vendor_B,FedEx,Delivered,0
307,2024-04-11,2024-04-19,South,Toys,Vendor_B,Delhivery,Delayed,5
308,2024-05-25,2024-06-04,North,Clothing,Vendor_B,DHL,Delayed,7
309,2024-06-16,2024-06-29,West,Furniture,Vendor_B,Delhivery,Delayed,10
310,2024-05-11,2024-05-24,East,Furniture,Vendor_D,Bluedart,Delayed,10
311,2024-02-09,2024-02-22,East,Clothing,Vendor_C,DHL,Delayed,10
312,2024-06-07,2024-06-17,East,Toys,Vendor_C,DHL,Delayed,7
313,2024-03-04,2024-03-17,West,Toys,Vendor_C,Bluedart,Delayed,10
314,2024-03-02,2024-03-07,North,Furniture,Vendor_D,DHL,Delayed,2
315,2024-06-16,2024-06-20,South,Appliances,Vendor_C,DHL,Delayed,1
316,2024-02-04,2024-02-08,South,Electronics,Vendor_B,Bluedart,Delayed,1
317,2024-01-04,2024-01-12,East,Toys,Vendor_A,Bluedart,Delayed,5
318,2024-01-18,2024-01-21,West,Toys,Vendor_D,Bluedart,Delivered,0
319,2024-03-11,2024-03-16,North,Electronics,Vendor_B,FedEx,Delayed,2
320,2024-02-14,2024-02-17,North,Toys,Vendor_D,Bluedart,Delivered,0
321,2024-06-28,2024-07-03,North,Electronics,Vendor_C,FedEx,Delayed,2
322,2024-03-10,2024-03-20,Central,Appliances,Vendor_D,Bluedart,Delayed,7
323,2024-05-15,2024-05-20,South,Electronics,Vendor_C,Bluedart,Delayed,2
324,2024-06-15,2024-06-20,South,Electronics,Vendor_C,DHL,Delayed,2
325,2024-05-22,2024-05-26,South,Appliances,Vendor_D,Delhivery,Delayed,1
326,2024-05-11,2024-05-14,West,Electronics,Vendor_B,Bluedart,Delivered,0
327,2024-04-11,2024-04-15,North,Furniture,Vendor_D,Bluedart,Delayed,1
328,2024-04-25,2024-04-30,East,Furniture,Vendor_A,DHL,Delayed,2
